Date,Open,High,Low,Close,Volume,Brand_Name,Ticker,Industry_Tag,Country,Dividends,Stock Splits,Capital Gains
2025-07-03 00:00:00-04:00,221.7050018,224.0099945,221.3600006,223.4100037,29295154,amazon,AMZN,e-commerce,usa,0,0,
2025-07-03 00:00:00-04:00,221.8200073,224.0099945,221.3600006,223.4100037,29632400,amazon,AMZN,e-commerce,usa,0,0,
2025-07-02 00:00:00-04:00,219.7299957,221.6000061,219.0599976,219.9199982,30840800,amazon,AMZN,e-commerce,usa,0,0,
2025-07-01 00:00:00-04:00,219.5,221.8800049,217.9299927,220.4600067,39200000,amazon,AMZN,e-commerce,usa,0,0,
2025-06-30 00:00:00-04:00,223.5200043,223.8200073,219.1199951,219.3899994,58798200,amazon,AMZN,e-commerce,usa,0,0,
2025-06-27 00:00:00-04:00,219.9219971,223.3000031,216.7400055,223.3000031,106482541,amazon,AMZN,e-commerce,usa,0,0,
2025-06-27 00:00:00-04:00,219.9199982,223.3000031,216.7400055,223.3000031,119122800,amazon,AMZN,e-commerce,usa,0,0,
2025-06-26 00:00:00-04:00,213.1199951,218.0399933,212.0099945,217.1199951,50387600,amazon,AMZN,e-commerce,usa,0,0,
2025-06-25 00:00:00-04:00,214.6199951,216.0299988,211.1100006,211.9900055,31690000,amazon,AMZN,e-commerce,usa,0,0,
2025-06-24 00:00:00-04:00,212.1399994,214.3399963,211.0500031,212.7700043,38338200,amazon,AMZN,e-commerce,usa,0,0,
2025-06-23 00:00:00-04:00,209.7899933,210.3899994,207.3099976,208.4700012,36934900,amazon,AMZN,e-commerce,usa,0,0,
2025-06-20 00:00:00-04:00,214.6799927,214.8899994,208.2700043,209.6900024,75297800,amazon,AMZN,e-commerce,usa,0,0,
2025-06-20 00:00:00-04:00,214.4900055,214.8899994,208.2709045,209.6900024,75063021,amazon,AMZN,e-commerce,usa,0,0,
2025-06-18 00:00:00-04:00,215.0899963,217.9600067,212.3399963,212.5200043,44260800,amazon,AMZN,e-commerce,usa,0,0,
2025-06-18 00:00:00-04:00,215.0899963,217.9600067,212.3399963,212.5200043,44181988,amazon,AMZN,e-commerce,usa,0,0,
2025-06-17 00:00:00-04:00,215.1999969,217.4100037,214.5599976,214.8200073,32009100,amazon,AMZN,e-commerce,usa,0,0,
2025-06-16 00:00:00-04:00,212.3099976,217.0599976,211.6000061,216.1000061,33128100,amazon,AMZN,e-commerce,usa,0,0,
2025-06-13 00:00:00-04:00,209.9600067,214.0500031,209.6600037,212.1000061,29278801,amazon,AMZN,e-commerce,usa,0,0,
2025-06-13 00:00:00-04:00,209.9600067,214.0500031,209.6199951,212.1000061,29300100,amazon,AMZN,e-commerce,usa,0,0,
2025-06-12 00:00:00-04:00,211.7799988,213.5800018,211.3300018,213.2400055,27540600,amazon,AMZN,e-commerce,usa,0,0,
2025-06-11 00:00:00-04:00,217.4100037,218.3999939,212.8899994,213.1999969,39218800,amazon,AMZN,e-commerce,usa,0,0,
