Date,Open,High,Low,Close,Volume,Brand_Name,Ticker,Industry_Tag,Country,Dividends,Stock Splits
2010-01-04 05:00:00+00:00,6.469951358202035,6.502387443524245,6.438121569978848,6.4875335693359375,493729600.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-05 05:00:00+00:00,6.5054204326985205,6.535431334694297,6.464495776339016,6.498751163482666,601904800.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-06 05:00:00+00:00,6.498750297105447,6.524517519993776,6.388709798140541,6.395379066467285,552160000.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-07 05:00:00+00:00,6.419024345552393,6.426603060151402,6.337175846834152,6.383556365966797,477131200.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-08 05:00:00+00:00,6.375067136925425,6.426601574812334,6.33747834015305,6.425994873046875,447610800.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-11 05:00:00+00:00,6.450855412644554,6.456918385522333,6.318988990455596,6.369310855865479,462229600.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-12 05:00:00+00:00,6.341419461061054,6.359002483498795,6.2574497325411365,6.296857833862305,594459600.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-13 05:00:00+00:00,6.301405349114029,6.394165974048187,6.18712077197491,6.385677814483643,605892000.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-14 05:00:00+00:00,6.36930794602307,6.379917738974217,6.336265163672736,6.34869384765625,432894000.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-15 05:00:00+00:00,6.39416631601228,6.414477270342253,6.240776781174887,6.242595672607422,594067600.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-19 05:00:00+00:00,6.3153495145978304,6.523304571732189,6.28230753548071,6.518757343292236,730007600.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-20 05:00:00+00:00,6.514817791286715,6.534218898667024,6.350818431541357,6.418419361114502,612152800.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-21 05:00:00+00:00,6.429027042630509,6.466313097248859,6.281396543104103,6.307466506958008,608154400.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-22 05:00:00+00:00,6.268363145637209,6.290189034219618,5.976741088238435,5.994626045227051,881767600.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-25 05:00:00+00:00,6.138920274336259,6.205307776958173,6.068591436191122,6.155896186828613,1065699600.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-26 05:00:00+00:00,6.24320065903701,6.478438640000984,6.141042040116903,6.2428975105285645,1867110000.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-27 05:00:00+00:00,6.270483849806761,6.383555421734495,6.048583976023566,6.301707744598389,1722568400.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-28 05:00:00+00:00,6.212281910158199,6.229560568959543,6.023424400755589,6.041309356689453,1173502400.0,apple,AAPL,technology,usa,0.0,0.0
2010-01-29 05:00:00+00:00,6.095573248555108,6.129525084672114,5.767270576899851,5.822139263153076,1245952400.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-01 05:00:00+00:00,5.8315361505619565,5.941576665743568,5.799100059304497,5.903077602386475,749876400.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-02 05:00:00+00:00,5.938847824013786,5.951276510177863,5.862152857643804,5.937331676483154,698342400.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-03 05:00:00+00:00,5.916413808892544,6.068894269622833,5.89367807566327,6.039489269256592,615328000.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-04 05:00:00+00:00,5.963704512443687,6.013420064248271,5.807283910915411,5.821835041046143,757652000.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-05 05:00:00+00:00,5.839415684483401,5.941574295176281,5.785456063801032,5.925204277038574,850306800.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-08 05:00:00+00:00,5.93217937821182,5.998567302794636,5.880948074184018,5.884585857391357,478270800.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-09 05:00:00+00:00,5.954306777545044,5.987046007923441,5.9036821893916285,5.94733476638794,632886800.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-10 05:00:00+00:00,5.938240979779156,5.95976493312706,5.888829381498371,5.914899349212647,370361600.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-11 05:00:00+00:00,5.90762527698519,6.055255420842488,5.88276749423983,6.022515773773193,550345600.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-12 05:00:00+00:00,6.005538752731447,6.112548175024166,5.926418999079786,6.074352264404297,655468800.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-16 05:00:00+00:00,6.121642301483215,6.174692088043973,6.108910466035203,6.165901184082031,543737600.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-17 05:00:00+00:00,6.1898476397156985,6.193485421760594,6.088901211658098,6.140132904052734,436396800.0,apple,AAPL,technology,usa,0.0,0.0
2010-02-18 05:00:00+00:00,6.112242483973529,6.180753232387101,6.090719750926194,6.151651382446289,422825200.0,apple,AAPL,technology,usa,0.0,0.0
